source,source_identifier,file_role,relative_path,file_format,size_bytes,sha256,local_file_timestamp_utc,source_url
MaveDB,urn:mavedb:00001231-a-2,Score-set metadata,data/raw/mavedb/score_set_metadata.json,json,72189,9da80ef57882283d7f419e8cd11d69ce302a8f24f246019b8ac676861978c86c,2026-07-26T21:22:02.261544+00:00,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001231-a-2
MaveDB,urn:mavedb:00001231-a-2,Experimental variant scores,data/raw/mavedb/scores.csv,csv,2701803,07fce71de06a3aa77cd5e451a8496cb5d93b04f5c00ac3b2f061897b63aae333,2026-07-26T21:22:30.813558+00:00,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001231-a-2/scores
MaveDB,urn:mavedb:00001231-a-2,Mapped variants,data/raw/mavedb/mapped_variants.json,json,66642491,24905416fe07cc33dc7b0f0ac26c7c3a9b3e6027ce2691074865bcf9be4dbd1b,2026-07-26T21:24:42.257532+00:00,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001231-a-2/mapped-variants
NCBI RefSeq,NP_000229.1,Reference protein sequence,data/raw/reference/NP_000229.1.fasta,fasta,1272,c2bcd8556b8ec7a99d095954f57d463325e0cea2b80662e4feca3a5eb9ac8286,2026-07-27T00:33:31.350379+00:00,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=NP_000229.1&rettype=fasta&retmode=text
NCBI RefSeq,NP_000229.1,Annotated GenPept record,data/raw/reference/NP_000229.1.gp,gp,15507,005c4e7e5ff173832e1cf52a7226d08bc70e45b65f738381a5ff2f3dc7b37069,2026-07-27T00:33:31.654374+00:00,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=NP_000229.1&rettype=gp&retmode=text
NCBI RefSeq,NP_000229.1,Locally generated reference metadata,data/raw/reference/NP_000229.1_metadata.json,json,829,84f5b630aefee728f1df2d4a8f6391e37557b7f244021303adc4ae39e0fcf0dd,2026-07-27T00:33:31.664374+00:00,Generated by download_reference.py
